Date,Region,District,Town,Grid,Power_Consumption_MWh,Power_Generation_MWh,Power_Outage
2017-02-22,Greater Accra Region,District Three,Town One,Grid Three,1818,587,A
2017-02-23,Upper East Region,District Four,Town Five,Grid Three,1682,1387,A
2017-02-24,North East Region,District Three,Town One,Grid Two,944,684,B
2017-02-25,Upper East Region,District Five,Town Two,Grid Five,1540,1782,A
2017-02-26,Western Region,District Four,Town Three,Grid Five,1850,1597,A
2017-02-27,Eastern Region,District Two,Town Five,Grid Two,1044,1781,B
2017-02-28,Central Region,District Three,Town Four,Grid Five,1515,1610,A
2017-03-01,Upper West Region,District Four,Town Four,Grid Two,523,899,A
2017-03-02,Oti Region,District Three,Town Four,Grid Two,981,1165,A
2017-03-03,Brong-Ahafo Region,District Two,Town One,Grid One,1066,1292,B
2017-03-04,Western Region,District Three,Town Four,Grid Two,788,1415,A
2017-03-05,Upper East Region,District one,Town Five,Grid Five,1681,1148,A
2017-03-06,Upper West Region,District Four,Town Three,Grid Three,1757,889,A
2017-03-07,North East Region,District Four,Town Five,Grid Four,1139,757,A
2017-03-08,Upper East Region,District Five,Town Three,Grid Five,1452,796,A
2017-03-09,Upper East Region,District Three,Town Four,Grid Three,1356,1326,A
2017-03-10,Ahafo Region,District Five,Town Two,Grid Five,907,416,A
2017-03-11,Greater Accra Region,District Two,Town One,Grid Four,1431,1301,A
2017-03-12,Volta Region,District one,Town Five,Grid One,1257,1443,A
2017-03-13,Volta Region,District one,Town Four,Grid Five,1779,549,A
2017-03-14,Ashanti Region,District Four,Town Four,Grid Three,543,1618,A
2017-03-15,Eastern Region,District Two,Town One,Grid Two,896,1340,A
2017-03-16,Volta Region,District Three,Town Three,Grid Five,1452,1795,A
2017-03-17,Northern Region,District one,Town Three,Grid Five,808,877,A
2017-03-18,Eastern Region,District one,Town Two,Grid Five,1211,604,B
2017-03-19,Upper West Region,District Four,Town Two,Grid One,1497,591,A
2017-03-20,Ashanti Region,District Four,Town Four,Grid Four,1507,749,A
2017-03-21,Western Region,District one,Town Four,Grid Five,1540,1768,B
2017-03-22,Savannah Region,District Five,Town Three,Grid One,1472,1682,A
2017-03-23,Upper West Region,District Three,Town Two,Grid Two,685,589,A
2017-03-24,Greater Accra Region,District Four,Town Two,Grid One,711,1310,A
2017-03-25,Savannah Region,District one,Town Two,Grid Three,831,471,A
2017-03-26,Bono East Region,District Two,Town Five,Grid One,1668,1394,A
2017-03-27,Bono East Region,District Three,Town Three,Grid One,705,1617,A
2017-03-28,Greater Accra Region,District Two,Town Three,Grid Three,1774,1687,A
2017-03-29,Upper East Region,District Four,Town Five,Grid Three,973,632,A
2017-03-30,Upper West Region,District Two,Town Two,Grid Four,999,1283,A
2017-03-31,Upper East Region,District Three,Town Five,Grid Three,806,803,A
2017-04-01,Northern Region,District Two,Town Four,Grid Four,1753,831,A
2017-04-02,North East Region,District Five,Town Five,Grid Three,1876,613,A
2017-04-03,Western Region,District Four,Town One,Grid Two,559,1291,A
2017-04-04,Ahafo Region,District Two,Town Five,Grid One,1976,1460,A
2017-04-05,Oti Region,District Two,Town Five,Grid Two,1613,620,A
2017-04-06,Bono East Region,District Two,Town Two,Grid Two,1239,1135,B
2017-04-07,Western Region,District one,Town Four,Grid One,1202,1131,A
2017-04-08,Greater Accra Region,District one,Town Three,Grid Three,1396,1175,B
2017-04-09,Upper East Region,District Five,Town Four,Grid Four,1646,1635,B
2017-04-10,Brong-Ahafo Region,District Four,Town Five,Grid Three,1698,901,A
2017-04-11,Ashanti Region,District Five,Town One,Grid Four,849,440,A
2017-04-12,Central Region,District one,Town Four,Grid One,1662,1681,B
2017-04-13,Northern Region,District Three,Town Four,Grid One,1314,1226,A
2017-04-14,Oti Region,District Three,Town One,Grid Three,1605,528,A
2017-04-15,Oti Region,District one,Town One,Grid One,962,764,A
2017-04-16,Volta Region,District one,Town Four,Grid Two,1721,595,A
2017-04-17,Greater Accra Region,District one,Town One,Grid Three,983,545,A
2017-04-18,Upper East Region,District Four,Town One,Grid Three,578,1402,A
2017-04-19,Bono East Region,District Five,Town Three,Grid Three,585,1672,A
2017-04-20,Central Region,District Three,Town Four,Grid Two,1181,660,A
2017-04-21,Greater Accra Region,District Four,Town Three,Grid Two,755,1780,A
2017-04-22,Western North Region,District Three,Town One,Grid Five,938,887,A
2017-04-23,Central Region,District Four,Town One,Grid Two,1515,1520,A
2017-04-24,Upper West Region,District Four,Town One,Grid One,1382,1281,B
2017-04-25,Ahafo Region,District Two,Town Four,Grid One,716,1159,A
2017-04-26,Central Region,District Two,Town Four,Grid Two,582,1706,A
2017-04-27,Upper West Region,District Two,Town Three,Grid Three,1666,1319,A
2017-04-28,Oti Region,District Five,Town Two,Grid Two,1289,790,A
2017-04-29,Ahafo Region,District Three,Town Five,Grid Five,1295,1667,A
2017-04-30,Central Region,District Five,Town Five,Grid Five,1040,998,A
2017-05-01,Eastern Region,District one,Town One,Grid Five,1054,852,A
2017-05-02,Western North Region,District one,Town Four,Grid Three,1637,527,A
2017-05-03,Bono East Region,District one,Town Five,Grid Five,661,1024,A
2017-05-04,Ahafo Region,District Five,Town Five,Grid Five,796,823,A
2017-05-05,Ashanti Region,District Three,Town Four,Grid Five,541,1682,A
2017-05-06,North East Region,District Two,Town Two,Grid Three,646,1085,A
2017-05-07,Upper West Region,District Three,Town Five,Grid Two,630,1775,A
2017-05-08,Savannah Region,District one,Town Three,Grid One,1237,1581,A
2017-05-09,Ashanti Region,District Four,Town Five,Grid One,1108,594,A
2017-05-10,Eastern Region,District Two,Town One,Grid Four,1077,1572,B
2017-05-11,North East Region,District one,Town Five,Grid Two,516,1717,B
2017-05-12,Western Region,District Five,Town One,Grid Five,1388,473,A
2017-05-13,Oti Region,District Four,Town One,Grid One,1331,851,A
2017-05-14,Brong-Ahafo Region,District Four,Town Five,Grid One,1792,1576,A
2017-05-15,Western North Region,District one,Town Four,Grid Three,1915,649,A
2017-05-16,Central Region,District one,Town Three,Grid One,1953,1729,B
2017-05-17,Greater Accra Region,District Four,Town Two,Grid Two,1406,995,B
2017-05-18,Oti Region,District Four,Town Four,Grid Three,1123,1198,A
2017-05-19,Greater Accra Region,District Five,Town Five,Grid Five,1330,1242,A
2017-05-20,Western North Region,District Four,Town One,Grid Four,1742,1009,A
2017-05-21,Upper West Region,District Five,Town Three,Grid Three,1624,874,A
2017-05-22,North East Region,District Two,Town Four,Grid Two,1017,1580,B
2017-05-23,Greater Accra Region,District Two,Town Two,Grid Three,794,1351,A
2017-05-24,Eastern Region,District one,Town Four,Grid Two,1938,1154,A
2017-05-25,Oti Region,District Four,Town One,Grid Five,737,1517,A
2017-05-26,Northern Region,District one,Town Five,Grid Three,1576,1230,A
2017-05-27,Eastern Region,District Two,Town Four,Grid Three,1567,452,A
2017-05-28,Eastern Region,District Four,Town Two,Grid Three,1464,883,B
2017-05-29,Ahafo Region,District Three,Town Three,Grid Three,1820,1485,B
2017-05-30,Northern Region,District Four,Town Four,Grid Two,711,1666,A
2017-05-31,Ahafo Region,District Five,Town Three,Grid Two,1470,1513,A
2017-06-01,Brong-Ahafo Region,District one,Town Two,Grid Five,1194,1227,A
2017-06-02,Eastern Region,District one,Town One,Grid Three,1610,471,B
2017-06-03,Volta Region,District one,Town Two,Grid Three,675,667,A
2017-06-04,Upper East Region,District one,Town Four,Grid Five,748,720,A
2017-06-05,Western North Region,District Four,Town Two,Grid Five,1422,868,A
2017-06-06,Upper East Region,District one,Town Two,Grid One,1671,1147,A
2017-06-07,Savannah Region,District Three,Town Four,Grid Five,1551,1219,B
2017-06-08,Ashanti Region,District Four,Town Two,Grid Three,944,401,A
2017-06-09,Upper West Region,District Two,Town Four,Grid Three,1203,450,A
2017-06-10,Savannah Region,District Three,Town Four,Grid Three,1386,861,A
2017-06-11,Brong-Ahafo Region,District Two,Town Five,Grid Four,695,626,A
2017-06-12,Brong-Ahafo Region,District Three,Town Two,Grid Five,1872,910,B
2017-06-13,Northern Region,District Four,Town One,Grid Five,674,1068,A
2017-06-14,Upper East Region,District Three,Town One,Grid Two,1050,1000,A
2017-06-15,Oti Region,District Four,Town Five,Grid Three,1316,962,A
2017-06-16,Northern Region,District one,Town Three,Grid Four,1537,1048,A
2017-06-17,North East Region,District Three,Town Four,Grid One,1497,690,A
2017-06-18,Savannah Region,District Five,Town Three,Grid One,1194,564,A
2017-06-19,Ahafo Region,District Two,Town Four,Grid Two,1502,1101,A
2017-06-20,Oti Region,District Three,Town Three,Grid One,1178,795,A
2017-06-21,Northern Region,District one,Town One,Grid Two,925,693,A
2017-06-22,Savannah Region,District Three,Town Three,Grid Five,776,1543,A
2017-06-23,Eastern Region,District Four,Town Five,Grid Three,1896,1132,A
2017-06-24,Oti Region,District Two,Town Five,Grid One,1192,959,A
2017-06-25,Greater Accra Region,District Three,Town Four,Grid One,558,1664,A
2017-06-26,Northern Region,District Three,Town Two,Grid Two,586,1798,A
2017-06-27,Upper West Region,District Two,Town Five,Grid One,1122,784,A
2017-06-28,Volta Region,District Two,Town One,Grid Two,868,1667,B
2017-06-29,Brong-Ahafo Region,District Three,Town Five,Grid Five,743,1057,A
2017-06-30,Ahafo Region,District Two,Town Three,Grid Five,1079,410,A
2017-07-01,Greater Accra Region,District Two,Town Three,Grid One,1397,873,A
2017-07-02,Savannah Region,District Three,Town Four,Grid One,1849,1637,A
2017-07-03,Ashanti Region,District one,Town Three,Grid One,1384,1353,A
2017-07-04,Upper East Region,District Four,Town Four,Grid Three,1022,1639,A
2017-07-05,Greater Accra Region,District one,Town Three,Grid Four,1011,1283,A
2017-07-06,Volta Region,District Two,Town Four,Grid One,736,413,A
2017-07-07,Central Region,District one,Town Four,Grid One,1590,1421,A
2017-07-08,Eastern Region,District Three,Town Two,Grid One,674,552,A
2017-07-09,Upper West Region,District Three,Town Four,Grid Four,908,1636,A
2017-07-10,Greater Accra Region,District one,Town Five,Grid One,1295,1316,A
2017-07-11,Savannah Region,District Four,Town Two,Grid Two,522,1558,A
2017-07-12,Volta Region,District Three,Town Two,Grid Four,750,1567,A
2017-07-13,Upper West Region,District Two,Town Three,Grid Five,851,756,A
2017-07-14,Western Region,District Three,Town Two,Grid One,1245,1533,A
2017-07-15,Northern Region,District Four,Town Five,Grid One,558,1084,A
2017-07-16,Savannah Region,District Two,Town Four,Grid Four,1387,1367,A
2017-07-17,Central Region,District Four,Town Four,Grid Five,1906,1022,B
2017-07-18,North East Region,District one,Town Two,Grid Four,1203,1140,A
2017-07-19,Ahafo Region,District one,Town Three,Grid One,1507,705,B
2017-07-20,North East Region,District Four,Town Two,Grid Two,1045,732,B
2017-07-21,Ahafo Region,District Five,Town Four,Grid Two,548,1310,B
2017-07-22,Bono East Region,District Three,Town Five,Grid One,506,1665,A
2017-07-23,Oti Region,District Four,Town One,Grid Four,1109,1342,A
2017-07-24,Northern Region,District Two,Town Three,Grid Five,715,533,B
2017-07-25,Brong-Ahafo Region,District Four,Town Five,Grid Four,861,587,A
2017-07-26,Bono East Region,District Five,Town Two,Grid Three,1462,1231,A
2017-07-27,Upper West Region,District Five,Town Five,Grid One,1556,1535,A
2017-07-28,Upper West Region,District Two,Town Two,Grid Four,517,644,A
2017-07-29,Brong-Ahafo Region,District Five,Town Two,Grid Five,953,1279,A
2017-07-30,Eastern Region,District one,Town One,Grid Two,797,1422,A
2017-07-31,North East Region,District Four,Town Four,Grid One,1291,1762,B
2017-08-01,Eastern Region,District one,Town Five,Grid Five,1362,913,A
2017-08-02,Savannah Region,District Two,Town Three,Grid One,1085,1782,A
2017-08-03,Ashanti Region,District Two,Town Two,Grid Three,1185,679,A
2017-08-04,Brong-Ahafo Region,District one,Town Four,Grid One,975,1111,A
2017-08-05,Eastern Region,District Five,Town One,Grid One,1694,1391,A
2017-08-06,Oti Region,District Two,Town Four,Grid Three,1719,571,A
2017-08-07,Western Region,District Three,Town Two,Grid Five,1698,1637,B
2017-08-08,Upper East Region,District Three,Town Four,Grid One,949,1709,A
2017-08-09,Upper East Region,District Five,Town One,Grid Four,1933,1607,A
2017-08-10,Central Region,District Five,Town One,Grid Four,808,1541,B
2017-08-11,Central Region,District Three,Town Four,Grid Three,1016,825,B
2017-08-12,Northern Region,District Two,Town One,Grid Four,994,1469,A
2017-08-13,Central Region,District Two,Town Four,Grid Five,1271,847,A
2017-08-14,Upper West Region,District one,Town One,Grid Four,762,1286,A
2017-08-15,Western Region,District Two,Town Four,Grid One,1970,1060,A
2017-08-16,Ashanti Region,District Four,Town One,Grid Three,1635,1599,A
2017-08-17,Western Region,District one,Town Four,Grid Two,844,422,B
2017-08-18,Brong-Ahafo Region,District Five,Town Three,Grid Four,1633,542,A
2017-08-19,Upper West Region,District Three,Town Five,Grid Five,1879,600,A
2017-08-20,Bono East Region,District Four,Town Four,Grid Three,753,440,A
2017-08-21,Central Region,District Five,Town One,Grid Five,1355,1468,A
2017-08-22,Greater Accra Region,District Five,Town Three,Grid One,1480,1796,A
2017-08-23,Brong-Ahafo Region,District Three,Town Five,Grid Two,809,1233,A
2017-08-24,Western Region,District Five,Town Three,Grid Three,1553,1653,B
2017-08-25,Volta Region,District one,Town Five,Grid Four,1928,1347,A
2017-08-26,Savannah Region,District Two,Town Four,Grid Two,838,646,A
2017-08-27,Eastern Region,District Two,Town Three,Grid Four,1395,969,A
2017-08-28,Upper East Region,District Five,Town Four,Grid Two,1736,1762,A
2017-08-29,Savannah Region,District Two,Town Two,Grid Three,1987,1780,A
2017-08-30,Ashanti Region,District Four,Town Five,Grid Four,1586,707,A
2017-08-31,Oti Region,District Three,Town Five,Grid Two,970,1097,A
2017-09-01,Volta Region,District Three,Town Three,Grid Five,1384,1539,A
2017-09-02,Greater Accra Region,District Five,Town Two,Grid Four,1537,1604,A
2017-09-03,North East Region,District Three,Town Two,Grid Two,1803,922,A
2017-09-04,Upper West Region,District Five,Town Three,Grid One,1236,1384,B
2017-09-05,Greater Accra Region,District one,Town Three,Grid Five,1591,1436,A
2017-09-06,Bono East Region,District Five,Town Five,Grid Four,1231,465,A
2017-09-07,Bono East Region,District one,Town One,Grid Four,1501,690,A
2017-09-08,Oti Region,District Five,Town One,Grid Five,1906,1317,B
2017-09-09,Ashanti Region,District one,Town One,Grid Four,815,1638,B
2017-09-10,Bono East Region,District one,Town Three,Grid Four,1717,1795,A
2017-09-11,Greater Accra Region,District one,Town Five,Grid Five,1560,743,A
2017-09-12,Ashanti Region,District one,Town Three,Grid Four,1696,1056,B
2017-09-13,Oti Region,District Four,Town Four,Grid Four,1869,1704,A
2017-09-14,Northern Region,District Five,Town Three,Grid One,678,799,B
2017-09-15,Greater Accra Region,District one,Town Four,Grid Three,1002,480,A
2017-09-16,Bono East Region,District Two,Town Five,Grid Two,1762,880,B
2017-09-17,Ashanti Region,District Two,Town Five,Grid Four,1121,440,A
2017-09-18,Ashanti Region,District one,Town Five,Grid Four,968,468,A
2017-09-19,Western North Region,District Five,Town Five,Grid Two,927,1546,A
2017-09-20,Bono East Region,District one,Town One,Grid Two,658,1790,A
2017-09-21,Bono East Region,District Two,Town Four,Grid Two,1007,735,A
2017-09-22,Western North Region,District one,Town Three,Grid Four,672,1083,A
2017-09-23,Upper East Region,District Four,Town One,Grid Four,988,1468,A
2017-09-24,Ashanti Region,District one,Town Three,Grid Five,1139,1240,B
2017-09-25,Savannah Region,District Four,Town One,Grid Two,829,1175,A
2017-09-26,Eastern Region,District Three,Town One,Grid Three,686,516,B
2017-09-27,Western North Region,District Three,Town Five,Grid Three,1939,442,A
2017-09-28,North East Region,District Four,Town Five,Grid Two,1405,1513,A
2017-09-29,Northern Region,District Three,Town Five,Grid Two,1132,1165,A
2017-09-30,Savannah Region,District Five,Town Four,Grid Three,1378,490,B
2017-10-01,Ahafo Region,District Four,Town One,Grid Five,922,1727,A
2017-10-02,Western North Region,District Five,Town Two,Grid One,1413,780,A
2017-10-03,Oti Region,District Two,Town Two,Grid Four,1280,1161,A
2017-10-04,Bono East Region,District Five,Town Two,Grid Five,941,1306,A
2017-10-05,Central Region,District Four,Town Three,Grid One,1834,1311,A
2017-10-06,Ahafo Region,District Four,Town Four,Grid Four,1525,1383,A
2017-10-07,Northern Region,District Five,Town One,Grid Two,744,509,A
2017-10-08,North East Region,District Three,Town One,Grid Four,523,662,A
2017-10-09,Bono East Region,District one,Town Five,Grid Four,1404,827,A
2017-10-10,Eastern Region,District Five,Town Five,Grid Five,1804,1148,A
2017-10-11,Upper East Region,District Four,Town Three,Grid Two,1428,1788,A
2017-10-12,Brong-Ahafo Region,District Two,Town Four,Grid Three,933,1212,A
2017-10-13,Greater Accra Region,District Four,Town Five,Grid One,1245,1504,A
2017-10-14,Savannah Region,District Three,Town Three,Grid Two,525,552,A
2017-10-15,Northern Region,District Two,Town Five,Grid Three,1416,919,B
2017-10-16,Brong-Ahafo Region,District one,Town Two,Grid One,1860,1076,B
2017-10-17,Western Region,District Three,Town Three,Grid Three,595,449,A
2017-10-18,Bono East Region,District Two,Town Three,Grid Five,964,935,B
2017-10-19,Northern Region,District one,Town One,Grid Four,690,524,A
2017-10-20,Ashanti Region,District Five,Town Three,Grid Two,1603,463,B
2017-10-21,Western North Region,District Four,Town Four,Grid Four,1626,1616,A
2017-10-22,Upper West Region,District Five,Town Two,Grid One,1099,763,A
2017-10-23,Oti Region,District Four,Town Two,Grid Five,832,1144,B
2017-10-24,Northern Region,District one,Town Four,Grid Two,1958,1109,A
2017-10-25,Central Region,District Four,Town Five,Grid Three,519,1153,A
2017-10-26,Volta Region,District Five,Town Four,Grid One,1170,644,A
2017-10-27,Upper West Region,District Four,Town Five,Grid Three,1755,874,A
2017-10-28,Volta Region,District Four,Town Two,Grid Five,1683,1615,A
2017-10-29,Bono East Region,District Four,Town Five,Grid One,514,705,A
2017-10-30,Western Region,District Four,Town Five,Grid Four,679,1722,B
2017-10-31,Greater Accra Region,District Five,Town Five,Grid Five,1892,534,A
2017-11-01,Central Region,District Two,Town Four,Grid Three,1502,707,A
2017-11-02,Central Region,District Three,Town Three,Grid Three,1499,965,A
2017-11-03,North East Region,District Three,Town One,Grid Four,660,1257,A
2017-11-04,Volta Region,District Five,Town Three,Grid One,888,1560,A
2017-11-05,Ashanti Region,District Two,Town Four,Grid Three,803,917,A
2017-11-06,Upper West Region,District Four,Town Four,Grid Five,815,662,A
2017-11-07,Bono East Region,District Five,Town Two,Grid Three,1200,824,A
2017-11-08,Northern Region,District Four,Town Four,Grid Three,1573,454,A
2017-11-09,Ashanti Region,District Two,Town Four,Grid Three,855,527,A
2017-11-10,Central Region,District Three,Town Three,Grid Five,1320,1035,A
2017-11-11,Greater Accra Region,District Five,Town Five,Grid Two,1604,1458,A
2017-11-12,Ashanti Region,District Two,Town One,Grid Three,1548,1213,A
2017-11-13,Eastern Region,District Five,Town Five,Grid Four,722,1287,A
2017-11-14,Volta Region,District Four,Town Five,Grid Two,1239,950,A
2017-11-15,Volta Region,District Three,Town Four,Grid Two,1006,801,B
2017-11-16,Volta Region,District Three,Town One,Grid Four,1362,1744,B
2017-11-17,North East Region,District one,Town Four,Grid Four,630,1453,A
2017-11-18,Western Region,District Four,Town Four,Grid Two,1734,882,A
2017-11-19,Savannah Region,District Three,Town One,Grid Four,1982,1797,A
2017-11-20,Volta Region,District Four,Town Four,Grid Five,1249,1191,A
2017-11-21,Oti Region,District Four,Town Three,Grid Four,1788,1182,A
2017-11-22,Oti Region,District one,Town Three,Grid Four,1367,1173,A
2017-11-23,Eastern Region,District one,Town Five,Grid Three,1440,1762,A
2017-11-24,North East Region,District Four,Town Four,Grid One,1770,1343,A
2017-11-25,Eastern Region,District one,Town Four,Grid Five,1765,997,A
2017-11-26,Bono East Region,District Five,Town One,Grid Three,1804,1185,A
2017-11-27,Northern Region,District one,Town Four,Grid Three,891,1274,A
2017-11-28,Upper West Region,District Four,Town Three,Grid Three,898,1543,A
2017-11-29,Volta Region,District one,Town Two,Grid One,593,1723,B
2017-11-30,Western North Region,District one,Town Three,Grid Four,1433,683,A
2017-12-01,Brong-Ahafo Region,District Five,Town Three,Grid One,1787,423,A
2017-12-02,Greater Accra Region,District Four,Town Four,Grid Five,1675,1278,B
2017-12-03,Greater Accra Region,District Two,Town Five,Grid Two,624,425,A
2017-12-04,Brong-Ahafo Region,District Two,Town Two,Grid Four,1391,636,A
2017-12-05,Western North Region,District one,Town Three,Grid Two,1442,624,B
2017-12-06,Oti Region,District one,Town Two,Grid Two,1917,585,A
2017-12-07,Greater Accra Region,District Four,Town Five,Grid Five,702,811,A
2017-12-08,Bono East Region,District Four,Town Four,Grid Five,1200,895,B
2017-12-09,Western North Region,District one,Town Three,Grid Two,1688,1373,A
2017-12-10,Ahafo Region,District Two,Town Five,Grid Five,555,813,A
2017-12-11,Ashanti Region,District one,Town One,Grid Four,1511,1170,A
2017-12-12,Oti Region,District Four,Town Three,Grid Four,1706,719,A
2017-12-13,Eastern Region,District Three,Town One,Grid One,585,1229,A
2017-12-14,Greater Accra Region,District Five,Town Four,Grid Three,867,1301,A
2017-12-15,Brong-Ahafo Region,District Three,Town Five,Grid Five,910,635,A
2017-12-16,Bono East Region,District Five,Town Two,Grid One,1946,1386,A
2017-12-17,Northern Region,District Four,Town One,Grid Three,1563,548,A
2017-12-18,Ashanti Region,District Two,Town Two,Grid Three,1104,1176,A
2017-12-19,Volta Region,District Five,Town Two,Grid Five,1779,479,A
2017-12-20,Volta Region,District Three,Town One,Grid Four,1254,1762,A
2017-12-21,Western North Region,District Three,Town Three,Grid Four,700,1794,A
2017-12-22,Western Region,District Three,Town Four,Grid Five,1438,813,A
2017-12-23,Western Region,District Two,Town Four,Grid Four,1105,499,B
2017-12-24,Brong-Ahafo Region,District Five,Town Four,Grid Four,1120,754,A
2017-12-25,Ahafo Region,District Five,Town Five,Grid Five,1518,1674,A
2017-12-26,Upper West Region,District Three,Town Two,Grid Three,1433,952,A
2017-12-27,Ashanti Region,District Five,Town Three,Grid Three,1733,1652,A
2017-12-28,North East Region,District Two,Town Five,Grid One,662,1725,B
2017-12-29,Ashanti Region,District Three,Town Three,Grid Three,1897,851,A
2017-12-30,Western North Region,District Five,Town One,Grid Two,971,561,A
2017-12-31,Oti Region,District Two,Town Four,Grid Five,1478,537,A
2018-01-01,Western Region,District Four,Town Three,Grid Two,1876,720,B
2018-01-02,Volta Region,District Three,Town Three,Grid Five,934,1448,B
2018-01-03,Western North Region,District Two,Town Two,Grid Five,1410,695,B
2018-01-04,Upper West Region,District Three,Town Five,Grid Three,1466,413,A
2018-01-05,Ahafo Region,District Four,Town Five,Grid Five,528,1717,A
2018-01-06,Bono East Region,District Four,Town Five,Grid Two,1910,1213,A
2018-01-07,Northern Region,District Five,Town Three,Grid Two,1172,1075,A
2018-01-08,Savannah Region,District Two,Town Five,Grid Five,1441,1726,A
2018-01-09,Upper East Region,District Three,Town Four,Grid One,1368,473,A
2018-01-10,North East Region,District Four,Town Four,Grid Five,1858,507,A
2018-01-11,Eastern Region,District Four,Town Two,Grid Two,1090,1595,A
2018-01-12,Volta Region,District one,Town One,Grid Two,1027,900,A
2018-01-13,Ahafo Region,District one,Town Four,Grid One,840,610,A
2018-01-14,Upper West Region,District Two,Town One,Grid Four,1668,902,A
2018-01-15,Upper East Region,District Three,Town Three,Grid Two,628,795,A
2018-01-16,Upper East Region,District one,Town Two,Grid Three,737,1759,A
2018-01-17,Bono East Region,District Four,Town Five,Grid One,1647,1491,A
2018-01-18,Northern Region,District Five,Town One,Grid Four,660,1151,A
2018-01-19,Central Region,District Three,Town Five,Grid Two,829,1364,A
2018-01-20,Upper East Region,District Five,Town Two,Grid Five,1785,502,B
2018-01-21,Central Region,District one,Town Two,Grid One,964,1272,A
2018-01-22,Ashanti Region,District Three,Town Three,Grid Two,1681,847,B
2018-01-23,Upper West Region,District Five,Town One,Grid Five,1434,795,A
2018-01-24,Central Region,District Five,Town Four,Grid Two,1953,1289,A
2018-01-25,North East Region,District Three,Town Two,Grid Three,1326,1007,B
2018-01-26,Ashanti Region,District Two,Town Five,Grid Four,1336,491,A
2018-01-27,Upper East Region,District Three,Town Three,Grid Four,828,541,A
2018-01-28,Western Region,District Five,Town Four,Grid Four,1374,1556,B
2018-01-29,Bono East Region,District Five,Town Three,Grid One,1836,743,A
2018-01-30,North East Region,District one,Town One,Grid Four,1515,680,A
2018-01-31,Brong-Ahafo Region,District Three,Town Four,Grid One,1505,437,A
2018-02-01,Greater Accra Region,District Three,Town Five,Grid Five,1227,1390,A
2018-02-02,Western Region,District Three,Town Two,Grid Five,1406,1704,A
2018-02-03,Brong-Ahafo Region,District one,Town Four,Grid One,697,1040,A
2018-02-04,Central Region,District one,Town Five,Grid Two,1482,1522,A
2018-02-05,North East Region,District Two,Town Three,Grid One,564,785,A
2018-02-06,Eastern Region,District Five,Town Five,Grid Three,1074,1769,A
2018-02-07,Ashanti Region,District Four,Town Five,Grid Five,1492,1626,A
2018-02-08,Upper West Region,District one,Town One,Grid Four,1902,1541,A
2018-02-09,Greater Accra Region,District Two,Town Three,Grid Three,740,1360,B
2018-02-10,Northern Region,District Three,Town Two,Grid One,1713,697,B
2018-02-11,Western North Region,District Two,Town Five,Grid Four,1312,538,A
2018-02-12,Upper East Region,District Five,Town Three,Grid Two,508,1555,A
2018-02-13,Ahafo Region,District Three,Town One,Grid One,1121,1633,A
2018-02-14,Northern Region,District Five,Town Two,Grid One,1919,1007,A
2018-02-15,Oti Region,District Three,Town Two,Grid Four,878,1444,B
2018-02-16,Savannah Region,District Two,Town Three,Grid Four,882,485,A
2018-02-17,North East Region,District one,Town Four,Grid Three,926,1304,B
2018-02-18,Western Region,District Four,Town Five,Grid Two,1219,1651,A
2018-02-19,Upper West Region,District Five,Town Four,Grid One,1464,1102,A
2018-02-20,Savannah Region,District Three,Town Five,Grid Five,902,1429,A
2018-02-21,North East Region,District Five,Town Two,Grid Three,1106,1482,A
2018-02-22,Eastern Region,District Three,Town Three,Grid Two,1361,999,A
2018-02-23,Greater Accra Region,District Four,Town Five,Grid Four,848,1495,A
2018-02-24,Eastern Region,District Two,Town Five,Grid One,561,1408,A
2018-02-25,Brong-Ahafo Region,District one,Town Three,Grid One,826,1175,A
2018-02-26,Ahafo Region,District Three,Town One,Grid One,1946,749,A
2018-02-27,Western North Region,District one,Town One,Grid Five,733,546,A
2018-02-28,Upper West Region,District one,Town One,Grid One,1935,811,A
2018-03-01,Bono East Region,District Two,Town Four,Grid One,1348,1622,A
2018-03-02,Western North Region,District Two,Town One,Grid Five,787,1497,B
2018-03-03,Central Region,District Two,Town One,Grid Two,597,903,A
2018-03-04,Volta Region,District Two,Town Five,Grid Two,1795,462,A
2018-03-05,Western North Region,District Four,Town Four,Grid Five,1509,437,A
2018-03-06,Bono East Region,District Three,Town One,Grid Five,896,1094,A
2018-03-07,Ashanti Region,District Three,Town Four,Grid Two,934,692,A
2018-03-08,Northern Region,District Five,Town Three,Grid Three,1671,514,A
2018-03-09,Western Region,District Three,Town Three,Grid Three,580,827,A
2018-03-10,Savannah Region,District Three,Town Three,Grid Four,1528,1653,A
2018-03-11,Brong-Ahafo Region,District Five,Town Four,Grid One,1575,928,A
2018-03-12,Western North Region,District Three,Town One,Grid One,821,672,B
2018-03-13,Western North Region,District one,Town Four,Grid Four,776,1184,A
2018-03-14,Oti Region,District Four,Town Three,Grid Three,1615,1636,A
2018-03-15,North East Region,District Three,Town Five,Grid Three,809,1615,A
2018-03-16,Western North Region,District Four,Town Three,Grid One,1682,1609,A
2018-03-17,Volta Region,District Four,Town Three,Grid Two,1181,624,A
2018-03-18,Central Region,District Two,Town Four,Grid Two,1365,1674,B
2018-03-19,Ahafo Region,District Two,Town One,Grid Two,1982,1162,B
2018-03-20,Western Region,District Five,Town Two,Grid One,907,1170,A
